lat,lon
-21.375, -43.875
-21.375, -43.625
-21.375, -43.375
-21.375, -43.125
-21.375, -42.875
-21.375, -42.625
-21.375, -42.375
-21.375, -42.125
-21.375, -41.875
-21.375, -41.625
-21.375, -41.375
-21.375, -41.125
-21.125, -57.125
-21.125, -56.875
-21.125, -56.625
-21.125, -56.375
-21.125, -56.125
-21.125, -55.875
-21.125, -55.625
-21.125, -55.375
-21.125, -55.125
-21.125, -54.875
-21.125, -54.625
-21.125, -54.375
-21.125, -54.125
-21.125, -53.875
-21.125, -53.625
-21.125, -53.375
-21.125, -53.125
-21.125, -52.875
-21.125, -52.625
-21.125, -52.375
-21.125, -52.125
-21.125, -51.875
-21.125, -51.625
-21.125, -51.375
-21.125, -51.125
-21.125, -50.875
-21.125, -50.625
-21.125, -50.375
-21.125, -50.125
-21.125, -49.875
-21.125, -49.625
-21.125, -49.375
